,Unnamed: 0,Player,College,Conf,G,MP,MP_G,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,27,Ignas Brazdeikis,Michigan,Big Ten,37,1096,29.6,5.1,11,3.6,7.1,1.5,3.9,3.1,4.1,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8
28,28,Trent Frazier,Illinois,Big Ten,64,1817,28.4,4.5,11,2.3,5.2,2.2,5.8,1.9,2.7,0.3,1.8,2,2.8,1.5,0,2.1,2.2,13.1
29,29,Geo Baker,Rutgers,Big Ten,64,2099,32.8,4,10.9,2.2,5.9,1.8,5,1.7,2.3,0.3,2.4,2.6,3.3,1.3,0.5,2.3,2,11.5
30,30,Vic Law,Northwestern,Big Ten,93,3010,32.4,4.4,10.8,2.6,6,1.8,4.8,2.6,3.3,1.2,4.8,6,2.3,1.1,0.7,1.8,2.8,13.1
31,31,Caris LeVert,Michigan,Big Ten,15,464,30.9,5.5,10.8,3.5,6.5,1.9,4.3,3.6,4.5,0.6,4.7,5.3,4.9,1,0.2,1.7,1.2,16.5
32,32,Tai Webster,Nebraska,Big Ten,65,2016,31,4.8,10.8,3.8,7.8,0.9,3,3,4,0.9,3.7,4.6,2.9,1.4,0.2,2.6,2.3,13.4
33,33,Amir Coffey,Minnesota,Big Ten,87,2933,33.7,4.8,10.7,3.7,7.4,1.1,3.3,3.8,5.1,0.7,3.1,3.8,3.2,0.9,0.2,2.1,1.7,14.4
34,34,Glynn Watson Jr.,Nebraska,Big Ten,134,4027,30.1,4.2,10.6,2.8,6.6,1.4,3.9,1.7,2.2,0.5,2.6,3.1,2.9,1.3,0.1,1.4,2.5,11.4
35,35,Nigel Johnson,Rutgers,Big Ten,32,838,26.2,3.9,10.4,2.6,6.5,1.3,3.8,2.2,3.1,0.4,2.9,3.3,2,1.2,0.1,1.4,0.9,11.3
36,36,Shep Garner,Penn State,Big Ten,104,3464,33.3,4.1,10.3,1.5,3.4,2.7,6.8,1.8,2.2,0.3,2.4,2.7,2.3,1.1,0.1,1.7,2,12.7
37,37,Charles Matthews,Michigan,Big Ten,75,2304,30.7,4.8,10.3,3.9,7.5,0.8,2.7,2.2,3.7,1.4,3.9,5.3,2,0.9,0.6,1.9,2,12.6
38,38,A.J. Hammons,Purdue,Big Ten,33,813,24.6,6,10.2,5.8,9.8,0.2,0.3,2.7,3.8,2.3,5.8,8.2,1.1,0.3,2.5,2,2.4,15
39,39,Scottie Lindsey,Northwestern,Big Ten,95,2586,27.2,4.2,10.2,2.4,5.1,1.8,5.2,1.6,2,0.6,2.8,3.3,1.8,0.6,0.3,1.3,2.3,11.9
