,Unnamed: 0,Player,Season,Team,League,Age,VORP,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
27,27,Kemba Walker,2016-17,CHO,NBA,26,3.9,79,79,34.7,8.1,18.3,5.1,10.7,3.0,7.6,3.8,4.5,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,0.444,0.47600000000000003,0.39899999999999997,0.527,0.847,0.569
28,28,John Wall,2014-15,WAS,NBA,24,3.9,79,79,35.9,6.6,14.8,5.7,12.0,0.8,2.7,3.6,4.6,0.5,4.2,4.6,10.0,1.7,0.6,3.8,2.3,17.6,0.445,0.478,0.3,0.473,0.785,0.523
29,29,Ben Wallace,2004-05,DET,NBA,30,3.9,74,74,36.1,4.0,8.8,4.0,8.7,0.0,0.1,1.8,4.1,3.9,8.2,12.2,1.7,1.4,2.4,1.1,2.1,9.7,0.45299999999999996,0.45799999999999996,0.111,0.45399999999999996,0.428,0.45899999999999996
30,30,Gerald Wallace,2006-07,CHA,NBA,24,3.9,72,71,36.7,6.6,13.2,6.1,11.6,0.5,1.7,4.3,6.2,2.0,5.2,7.2,2.6,2.0,1.0,2.2,2.9,18.1,0.502,0.528,0.325,0.523,0.691,0.568
31,31,Rasheed Wallace,2005-06,DET,NBA,31,3.9,80,80,34.8,5.7,13.3,3.8,7.9,1.9,5.4,1.7,2.3,1.1,5.7,6.8,2.3,1.0,1.6,1.1,2.9,15.1,0.43,0.48,0.35700000000000004,0.503,0.743,0.527
32,32,Deron Williams,2012-13,BRK,NBA,28,3.9,78,78,36.4,6.3,14.4,4.2,8.7,2.2,5.7,4.1,4.7,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9,0.44,0.48200000000000004,0.37799999999999995,0.516,0.8590000000000001,0.574
33,33,Darrell Armstrong,2000-01,ORL,NBA,32,3.8,75,75,36.9,5.5,13.4,3.6,8.0,1.9,5.4,2.9,3.3,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,0.41200000000000003,0.451,0.355,0.484,0.884,0.535
34,34,Nicolas Batum,2012-13,POR,NBA,24,3.8,73,73,38.5,4.8,11.4,2.6,5.3,2.3,6.1,2.4,2.9,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,0.423,0.48100000000000004,0.37200000000000005,0.522,0.848,0.5660000000000001
35,35,Jimmy Butler,2017-18,MIN,NBA,28,3.8,59,59,36.7,7.4,15.6,6.2,12.2,1.2,3.4,6.2,7.2,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2,0.474,0.509,0.35,0.512,0.8540000000000001,0.59
36,36,Marcus Camby,2009-10,TOT,NBA,35,3.8,74,74,31.3,3.2,6.8,3.2,6.7,0.0,0.1,1.1,1.6,3.4,8.4,11.8,2.5,1.3,2.0,1.2,2.2,7.5,0.475,0.478,0.28600000000000003,0.47700000000000004,0.639,0.501
37,37,Vince Carter,2007-08,NJN,NBA,31,3.8,76,72,38.9,7.7,16.9,6.4,13.3,1.3,3.6,4.6,5.6,1.5,4.5,6.0,5.1,1.2,0.4,2.4,3.2,21.3,0.456,0.48200000000000004,0.359,0.494,0.816,0.55
38,38,Nene Hilario,2010-11,DEN,NBA,28,3.8,75,75,30.5,5.4,8.7,5.3,8.7,0.0,0.1,3.8,5.4,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2,14.5,0.615,0.618,0.2,0.615,0.711,0.657
39,39,Al Horford,2009-10,ATL,NBA,23,3.8,81,81,35.1,5.8,10.5,5.8,10.4,0.0,0.0,2.6,3.3,2.9,7.0,9.9,2.3,0.7,1.1,1.5,2.8,14.2,0.551,0.551,1.0,0.552,0.789,0.594
40,40,Andre Iguodala,2009-10,PHI,NBA,26,3.8,82,82,38.9,6.0,13.7,4.9,10.0,1.1,3.7,3.8,5.2,1.0,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1,0.44299999999999995,0.49200000000000005,0.31,0.485,0.733,0.535
41,41,Andrei Kirilenko,2004-05,UTA,NBA,23,3.8,41,37,32.9,5.0,10.2,4.5,8.4,0.6,1.9,5.0,6.3,2.2,4.0,6.2,3.2,1.6,3.3,2.2,2.5,15.6,0.493,0.536,0.299,0.52,0.784,0.599
42,42,Kawhi Leonard,2013-14,SAS,NBA,22,3.8,66,65,29.1,5.1,9.8,4.1,7.0,1.0,2.8,1.5,1.9,1.2,5.1,6.2,2.0,1.7,0.8,1.2,1.9,12.8,0.522,0.579,0.379,0.5760000000000001,0.802,0.602
43,43,Damian Lillard,2015-16,POR,NBA,25,3.8,75,75,35.7,8.2,19.7,5.2,11.5,3.1,8.1,5.5,6.2,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1,0.419,0.45,0.375,0.49700000000000005,0.892,0.56
44,44,Kevin Love,2010-11,MIN,NBA,22,3.8,73,73,35.8,6.6,14.1,5.4,11.2,1.2,2.9,5.8,6.8,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0,20.2,0.47,0.483,0.41700000000000004,0.513,0.85,0.593
45,45,Shawn Marion,2007-08,TOT,NBA,29,3.8,63,62,36.7,6.3,12.5,5.3,9.3,1.0,3.1,1.7,2.4,2.2,8.0,10.2,2.2,2.0,1.3,1.4,2.4,15.4,0.508,0.5670000000000001,0.33299999999999996,0.55,0.7070000000000001,0.57
46,46,Anthony Mason,2000-01,MIA,NBA,34,3.8,80,80,40.7,5.8,11.9,5.8,11.9,0.0,0.0,4.6,5.9,2.1,7.5,9.6,3.1,1.0,0.3,2.2,2.9,16.1,0.48200000000000004,0.48200000000000004,,0.48200000000000004,0.7809999999999999,0.555
47,47,Joakim Noah,2011-12,CHI,NBA,26,3.8,64,64,30.4,3.9,7.7,3.9,7.6,0.0,0.0,2.4,3.2,3.8,6.0,9.8,2.5,0.6,1.4,1.4,2.5,10.2,0.508,0.509,0.0,0.508,0.748,0.561
48,48,Lamar Odom,2010-11,LAL,NBA,31,3.8,82,35,32.2,5.8,10.9,4.9,8.7,0.8,2.2,2.0,3.0,2.1,6.5,8.7,3.0,0.6,0.7,1.7,2.4,14.4,0.53,0.5660000000000001,0.382,0.568,0.675,0.589
49,49,Jason Richardson,2007-08,CHA,NBA,27,3.8,82,82,38.4,7.9,17.9,4.9,10.6,3.0,7.3,3.0,4.0,1.0,4.4,5.4,3.1,1.4,0.7,2.0,2.9,21.8,0.441,0.466,0.406,0.524,0.752,0.5539999999999999
50,50,Kemba Walker,2018-19,CHO,NBA,28,3.8,81,81,34.8,8.8,20.5,5.7,11.6,3.2,8.9,4.6,5.5,0.6,3.8,4.4,5.9,1.3,0.4,2.6,1.6,25.4,0.431,0.49,0.355,0.508,0.8420000000000001,0.555
51,51,Chris Webber,2002-03,SAC,NBA,29,3.8,67,67,39.1,9.9,21.4,9.8,21.1,0.1,0.3,3.2,5.3,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0,0.461,0.465,0.23800000000000002,0.46299999999999997,0.607,0.485
52,52,Bradley Beal,2018-19,WAS,NBA,25,3.7,82,82,36.9,9.3,19.6,6.8,12.4,2.5,7.3,4.4,5.5,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,25.6,0.475,0.5479999999999999,0.35100000000000003,0.54,0.8079999999999999,0.581
53,53,Chauncey Billups,2003-04,DET,NBA,27,3.7,78,78,35.4,5.0,12.8,3.4,8.5,1.7,4.3,5.2,5.9,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,0.39399999999999996,0.396,0.38799999999999996,0.45899999999999996,0.878,0.55
