Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
223,2007,NBA,1,7,MIN,Corey Brewer,21.12,F-G,us,University of Florida,2008,2019,814,23,8.7,2.8,1.5,1.3,0.3,0.425,0.48,0.284,0.713,22.5,0.058
1081,2013,NBA,2,53,IND,Colton Iverson,24.004,C,us,Colorado State University,,,,,,,,,,,,,,,
945,2018,NBA,1,8,CLE,Collin Sexton,19.173,G,us,University of Alabama,2019,2019,82,31.8,16.7,2.9,3,0.5,0.1,0.43,0.44,0.402,0.839,-0.6,-0.011
397,2010,NBA,1,11,NOH,Cole Aldrich,21.241,C,us,University of Kansas,2011,2018,339,10,3.1,3.3,0.5,0.4,0.7,0.527,0.527,,0.738,9.6,0.135
211,2013,NBA,1,4,CHA,Cody Zeller,20.27,C-F,us,Indiana University,2014,2019,361,22.9,8.2,5.8,1.4,0.7,0.8,0.511,0.516,0.263,0.74,24.1,0.14
157,2014,NBA,1,25,HOU,Clint Capela,20.044,C,ch,,2015,2019,295,25.1,12,9.2,0.9,0.7,1.4,0.635,0.635,0,0.525,31.4,0.204
943,2014,NBA,2,34,NYK,Cleanthony Early,23.076,F,us,Wichita State University,2015,2016,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039
182,2013,NBA,1,10,POR,CJ McCollum,21.287,G,us,Lehigh University,2014,2019,411,30,17.8,3.1,2.9,0.9,0.3,0.455,0.482,0.401,0.839,27.9,0.109
1070,2011,NBA,2,56,LAL,Chukwudiebere Maduabum,20.101,F,ng,,,,,,,,,,,,,,,,
931,2009,NBA,1,30,CLE,Christian Eyenga,20.008,F,cd,,2011,2012,51,20.6,6.3,2.7,0.8,0.7,0.6,0.411,0.464,0.277,0.611,-0.4,-0.02
1009,2004,NBA,2,51,NJN,Christian Drejer,,,,University of Florida,,,,,,,,,,,,,,,
187,2002,NBA,1,8,LAC,Chris Wilcox,19.301,F,us,University of Maryland,2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,0.541,0.543,0,0.643,26.9,0.103
694,2005,NBA,2,42,GSW,Chris Taft,20.115,F,us,University of Pittsburgh,2006,2006,17,8.5,2.8,2.1,0.1,0.1,0.4,0.605,0.605,,0.167,0.5,0.155
574,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
679,2007,NBA,2,41,MIN,Chris Richard,22.19,F,us,University of Florida,2008,2010,70,11.1,1.9,2.8,0.4,0.3,0.2,0.483,0.483,,0.605,0.7,0.045
740,2000,NBA,2,55,GSW,Chris Porter,22.056,F,us,Auburn University,2001,2001,51,22.5,8.6,3.7,1.2,0.9,0.1,0.389,0.393,0,0.667,0.2,0.008
2,2005,NBA,1,4,NOH,Chris Paul,20.058,G,us,Wake Forest University,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,0.469,0.504,0.37,0.868,171.5,0.247
805,2002,NBA,2,48,MIL,Chris Owens,23.123,F,us,University of Texas at Austin,2003,2003,1,6,4,1,0,0,0,0.667,0.667,,,0,-0.032
328,2000,NBA,1,7,CHI,Chris Mihm,20.353,C,us,University of Texas at Austin,2001,2009,436,20.1,7.5,5.3,0.5,0.3,1,0.459,0.46,0.231,0.704,13.3,0.073
686,2015,NBA,1,29,BRK,Chris McCullough,20.145,F,us,Syracuse University,2016,2018,59,9,3.3,1.9,0.3,0.5,0.3,0.426,0.47,0.306,0.548,0.6,0.054
